post_date,post_publish_time,impressions,members_reached,reactions,comments,reposts,employees_1_to_10,employees_51_to_200,employees_201_to_500,employees_501_to_1000,employees_1001_to_5000,employees_5001_to_10000,employees_10001_or_more,reactions_top_job_title,reactions_top_location,reactions_top_industry,comments_top_job_title,comments_top_location,comments_top_industry,post_url
2025-04-29,01:59,788,467,13,4,1,0.122055672,0.126338333,0,0,0.102783725,0,0.158458248,Founder,Dallas-Fort Worth Metroplex,Software Development,Software Engineer,Dallas-Fort Worth Metroplex,"Technology, Information and Internet",https://www.linkedin.com/feed/update/urn:li:share:7322801658009128961
2025-04-26,18:23,7068,4651,141,27,1,0.09030316,0.125994414,0,0,0.095248334,0,0.170715973,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,Software Engineer,Boise Metropolitan Area,Software Development,https://www.linkedin.com/feed/update/urn:li:ugcPost:7321962034693054465
2025-03-31,02:27,3827,2152,24,16,2,0.120353162,0.105483271,0,0,0.121747211,0,0.192379177,Software Engineer,Los Angeles Metropolitan Area,"Technology, Information and Internet",Development Specialist,Dallas-Fort Worth Metroplex,"Technology, Information and Internet",https://www.linkedin.com/feed/update/urn:li:share:7312299365019107331
2025-03-24,03:29,985,471,7,7,0,0.12101911,0.116772823,0,0,0.095541403,0,0.203821659,Founder,Dallas-Fort Worth Metroplex,Software Development,Software Engineer,Dallas-Fort Worth Metroplex,Financial Services,https://www.linkedin.com/feed/update/urn:li:share:7309778409650339841
2025-03-20,00:36,879,475,17,2,0,0.119999997,0.117894739,0,0,0.117894739,0,0.208421052,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,Owner,Dallas-Fort Worth Metroplex,Mental Health Care,https://www.linkedin.com/feed/update/urn:li:share:7308285346549575680
2025-03-02,03:41,2146,1107,17,2,1,0.108401082,0.115627825,0,0,0.101174347,0,0.247515813,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,Software Engineer,Dallas-Fort Worth Metroplex,Design Services,https://www.linkedin.com/feed/update/urn:li:share:7301808843586420736
2025-02-19,14:58,123117,80181,106,62,6,0,0.133585259,0.079632334,0,0.125079513,0,0.165762469,Software Engineer,Los Angeles Metropolitan Area,Software Development,Software Architect,Honolulu Metropolitan Area,Software Development,https://www.linkedin.com/feed/update/urn:li:share:7297993024599429120
2025-02-17,21:10,939,544,7,1,0,0.106617644,0.128676474,0,0,0.117647059,0,0.172794119,Software Engineer,Los Angeles Metropolitan Area,"Technology, Information and Media",Co-Founder,"Portland, Oregon Metropolitan Area",Financial Services,https://www.linkedin.com/feed/update/urn:li:ugcPost:7297361836889231361
2025-02-09,17:24,1246,663,16,9,0,0.095022626,0.107088991,0,0,0.129713431,0,0.229260936,Web Developer,Dallas-Fort Worth Metroplex,Software Development,Owner,Dallas-Fort Worth Metroplex,Software Development,https://www.linkedin.com/feed/update/urn:li:share:7294405732442021888
2025-01-30,15:10,1791,900,36,13,0,0.101111114,0.11777778,0,0,0.105555557,0,0.198888883,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,https://www.linkedin.com/feed/update/urn:li:share:7290748271138947073
2025-01-26,22:31,3471,1656,18,8,3,0.100241549,0.117753625,0,0,0.135265693,0,0.16123189,Software Engineer,Dallas-Fort Worth Metroplex,IT Services and IT Consulting,Drupal Developer,Louisville Metropolitan Area,Non-profit Organizations,https://www.linkedin.com/feed/update/urn:li:share:7289409758938177536
2025-01-24,15:58,2362,1386,25,13,1,0.098124102,0.124098122,0,0,0.119047619,0,0.191919193,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,https://www.linkedin.com/feed/update/urn:li:share:7288585886882050048
2025-01-21,16:15,1732,873,35,3,0,0.095074452,0.092783503,0,0,0.126002297,0,0.229095072,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,https://www.linkedin.com/feed/update/urn:li:share:7287503204366397440
2025-01-19,21:53,662,338,16,1,0,0.115384616,0.109467454,0,0,0.103550293,0,0.210059166,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,Co-Founder,Manhattan,Software Development,https://www.linkedin.com/feed/update/urn:li:share:7286863441338712066
2024-12-16,03:39,4902,2411,190,27,2,0.10161759,0.119867273,0,0,0.116549149,0,0.173786804,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,Founder,Dallas-Fort Worth Metroplex,IT Services and IT Consulting,https://www.linkedin.com/feed/update/urn:li:share:7274266774513074177
2024-12-14,01:37,1682,848,17,5,0,0.11084906,0.115566038,0,0,0.127358496,0,0.160377353,Founder,Dallas-Fort Worth Metroplex,Software Development,Chief Executive Officer,Dallas-Fort Worth Metroplex,IT Services and IT Consulting,https://www.linkedin.com/feed/update/urn:li:share:7273511473681698816
2024-12-11,14:26,2811,1461,69,11,2,0.106091715,0.112936348,0,0,0.121149898,0,0.212183431,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,Software Engineer,Dallas-Fort Worth Metroplex,IT Services and IT Consulting,https://www.linkedin.com/feed/update/urn:li:ugcPost:7272617763741835264
2024-12-06,14:06,1439,758,10,12,0,0.122691296,0.10949868,0,0,0.121372029,0,0.182058051,Software Engineer,Dallas-Fort Worth Metroplex,IT Services and IT Consulting,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,https://www.linkedin.com/feed/update/urn:li:share:7270800722923810816
2024-12-01,21:16,410,219,1,0,0,0.114155248,0.1369863,0,0,0.12328767,0,0.178082198,,Dallas-Fort Worth Metroplex,Software Development,,,,https://www.linkedin.com/feed/update/urn:li:share:7269097112141721601
2024-11-29,16:53,552,314,1,0,0,0.117834397,0.117834397,0,0,0.089171976,0,0.165605098,,Dallas-Fort Worth Metroplex,Software Development,,,,https://www.linkedin.com/feed/update/urn:li:share:7268305977764962306
2024-11-15,19:15,1563,845,9,7,0,0,0.128994077,0.080473371,0,0.125443786,0,0.176331356,Frontend Developer,Dallas-Fort Worth Metroplex,Software Development,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,https://www.linkedin.com/feed/update/urn:li:share:7263268327009988610
2024-11-13,14:50,320,184,4,0,0,0.108695649,0.108695649,0,0,0.146739125,0,0.190217391,Digital Transformation Advisor,Dallas-Fort Worth Metroplex,Software Development,,,,https://www.linkedin.com/feed/update/urn:li:share:7262476820774567936
2024-11-13,16:30,1715,943,5,4,0,0.085896075,0.115588546,0,0,0.098621421,0,0.200424179,Software Engineer,Dallas-Fort Worth Metroplex,IT Services and IT Consulting,Software Engineer,Greater Milan Metropolitan Area,IT Services and IT Consulting,https://www.linkedin.com/feed/update/urn:li:share:7262502187056939011
2024-11-02,15:06,1928,1034,22,7,0,0.08317215,0.106382981,0,0,0.13152805,0,0.179883942,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,Software Engineer,Dallas-Fort Worth Metroplex,IT Services and IT Consulting,https://www.linkedin.com/feed/update/urn:li:share:7258494769104887808
